id,session,date,time,type_of_log
2611012202,SE01,27/02/18,10:17:47,IN
2604012650,SE01,27/02/18,10:17:50,IN
2697002268,SE01,27/02/18,10:23:40,IN
2697001665,SE01,27/02/18,10:23:43,IN
2697003496,SE01,27/02/18,10:24:48,IN
2697005908,SE01,27/02/18,10:25:01,IN
2697005379,SE01,27/02/18,10:25:05,IN
2697006731,SE01,27/02/18,10:26:24,IN
2697006591,SE01,27/02/18,10:28:11,IN
2697002425,SE01,27/02/18,10:28:32,IN
2697004868,SE01,27/02/18,10:28:33,IN
2697003176,SE01,27/02/18,10:29:03,IN
2697000664,SE01,27/02/18,10:30:05,IN
2697000938,SE01,27/02/18,10:30:08,IN
2697000769,SE01,27/02/18,10:32:09,IN
2604011868,SE01,27/02/18,10:32:16,IN
2604011870,SE01,27/02/18,10:32:19,IN
2604011867,SE01,27/02/18,10:32:23,IN
2697002710,SE01,27/02/18,10:33:05,IN
2697000232,SE01,27/02/18,10:36:25,IN
2697000179,SE01,27/02/18,10:36:28,IN
2697000953,SE01,27/02/18,10:36:46,IN
2697002118,SE01,27/02/18,10:37:21,IN
2697006712,SE01,27/02/18,10:37:47,IN
2698000027,SE01,27/02/18,10:37:48,IN
2697002873,SE01,27/02/18,10:39:43,IN
2698000072,SE01,27/02/18,10:40:35,IN
2697001579,SE01,27/02/18,10:40:37,IN
2604012649,SE01,27/02/18,10:40:57,IN
2697000075,SE01,27/02/18,10:41:13,IN
2697005480,SE01,27/02/18,10:41:14,IN
2697004576,SE01,27/02/18,10:41:45,IN
2697005479,SE01,27/02/18,10:44:32,IN
2605016945,SE01,27/02/18,10:44:37,IN
2697006665,SE01,27/02/18,10:45:43,IN
2697003913,SE01,27/02/18,10:45:51,IN
2604013793,SE01,27/02/18,10:46:20,IN
2604013789,SE01,27/02/18,10:46:23,IN
2604013791,SE01,27/02/18,10:46:25,IN
2697002966,SE01,27/02/18,10:47:29,IN
2697000184,SE01,27/02/18,10:47:33,IN
2697001964,SE01,27/02/18,10:47:36,IN
2697004490,SE01,27/02/18,10:50:04,IN
2697004317,SE01,27/02/18,10:51:51,IN
2697001739,SE01,27/02/18,10:51:54,IN
2697001586,SE01,27/02/18,10:59:13,IN
2697000232,SE02,27/02/18,10:25:58,IN
2697000179,SE02,27/02/18,10:26:01,IN
2697005340,SE02,27/02/18,10:27:33,IN
2697003553,SE02,27/02/18,10:28:16,IN
2697005289,SE02,27/02/18,10:29:05,IN
2697004615,SE02,27/02/18,10:29:08,IN
